user_id,half_life,half_life_days,n_reviews,mean_p_recall,ui_language,learning_language,pair_label,mean_accuracy,mean_delta_days,is_struggling,hl_percentile
u:-t7,1915900.622990531,22.17477572905707,311,0.718113612004299,en,de,en→de,0.7722008427190137,4.814861780993212,True,0.2930456640134059
u:1EF,721432.8381229736,8.349917107904787,241,0.6189488243430249,en,de,en→de,0.793797910760294,1.584357470800676,True,0.1288227901131127
u:DRN,1484653.1966563272,17.183486072411196,136,0.7622549019607867,en,de,en→de,0.8318303768827972,4.369549802559913,True,0.23774612484289903
u:IAx,2115869.444919788,24.48922968657162,251,0.8764940239043825,en,de,en→de,0.8843656539601911,2.169517162830161,True,0.3223711772098869
u:Ljt,2189350.0400748407,25.339699537903247,132,0.9222763347763409,en,de,en→de,0.8689739126657425,1.2488398744388327,True,0.3322161709258483
u:NQZ,1624799.6114830682,18.805551058831806,542,0.7703413284132896,en,de,en→de,0.8072928929140515,2.704757286114528,True,0.25848345203183914
u:NU4,877002.337874184,10.150490021691944,354,0.7572504708097938,en,de,en→de,0.8221832660161317,1.8743162141661436,True,0.1527021365731043
u:RwK,568470.9297840637,6.579524650278516,1343,0.5565897244973939,en,de,en→de,0.6249589733896223,3.1633959005543146,True,0.10787599497276916
u:Tbo,1921437.449160015,22.23885936527795,481,0.7764627264627318,en,de,en→de,0.87046674832089,3.3564261858011855,True,0.29493087557603687
u:bFm,1235528.8046404133,14.30010190556034,206,0.6965210355987086,en,de,en→de,0.7784775656924388,4.1882537756202805,True,0.19857561793045664
u:bHM,1633407.2378434977,18.90517636392937,418,0.7407496012759187,en,de,en→de,0.7819176734968228,4.662925914850257,True,0.258902387934646
u:bL2p,1004251.9517933893,11.623286479090154,1876,0.66906538734897,en,de,en→de,0.7650204693296841,2.2458186929933666,True,0.16757436112274823
u:bPCb,769108.1045150418,8.901714172627798,159,0.7961215932914025,en,de,en→de,0.8173647605528849,1.4354988498718844,True,0.13531629660661917
u:bSZL,1902135.3033581986,22.01545489997915,150,0.8666666666666732,en,de,en→de,0.8903153331162056,2.3409449074074073,True,0.29178885630498536
u:bZ6z,1312403.241046394,15.189852326925857,1143,0.6340040828229807,en,de,en→de,0.7116763306405887,1.45373687664042,True,0.20925848345203185
u:boTC,1258191.3923435085,14.562400374346163,507,0.6373438527284773,en,de,en→de,0.6636832087551304,4.701473559975162,True,0.20276497695852536
u:buWy,1823527.1777822052,21.105638631738486,1767,0.7693642708922847,en,de,en→de,0.8258920263072077,2.1278379210421514,True,0.2827817343946376
u:c96g,1979387.333035728,22.909575613839444,1749,0.8565370688012294,en,de,en→de,0.8553142977062196,1.4996828081655127,True,0.3035190615835777
u:cEjr,187191.4342380226,2.1665675259030395,232,0.35215517241378447,en,de,en→de,0.5875066466585934,2.8643338421934867,True,0.06053623795559279
u:cwbJ,655045.5538629576,7.58154576230275,152,0.6808535762483158,en,de,en→de,0.7947439778900495,1.349691002680312,True,0.12023460410557185
u:dCJ6,1023977.5273512856,11.85159175175099,1173,0.7205740267121372,en,de,en→de,0.7444136308480146,2.26117256322819,True,0.17008797653958943
u:dhl,1575428.3280457004,18.234124167195606,987,0.764416783261771,en,de,en→de,0.8460924137587925,2.165240241191039,True,0.24968579807289484
u:dlL2,2228543.5173944538,25.793327747620992,181,0.8471454880294695,en,de,en→de,0.843852056816341,2.377168124616329,True,0.33724340175953077
u:doFH,1162912.6093434459,13.459636682215809,284,0.7375586854460104,en,de,en→de,0.8957431791489642,2.6011765209311424,True,0.18873062421449519
u:dtMy,2179125.6568871476,25.22136176952717,140,0.7857142857142857,en,de,en→de,0.7978186394642753,4.660714533730158,True,0.3307498952660243
u:dvrW,2268079.820473827,26.250923848076702,373,0.8876164943189089,en,de,en→de,0.9006775874124083,1.7310865976566379,True,0.3418516966904064
u:dz5e,2183830.3892751685,25.275814690684822,474,0.8145702047600843,en,de,en→de,0.8841492273727108,2.749701174011564,True,0.3313782991202346
u:eDaa,1582910.7465122975,18.320726232781222,287,0.8101045296167247,en,de,en→de,0.856184036218796,3.0486962430636213,True,0.250733137829912
u:eNXa,1545080.7303008179,17.882878822926134,410,0.7361788617886195,en,de,en→de,0.8424423935749599,3.907344116982836,True,0.2465437788018433
u:eSYN,1678722.9488646938,19.42966376000803,750,0.8293301587301612,en,de,en→de,0.8787139694319382,1.3745888734567902,True,0.26518642647674906
u:eXmo,1062349.0819479409,12.295706966990057,177,0.8573018318781129,en,de,en→de,0.8675565618237602,1.258804339296924,True,0.17658148303309593
u:eZSZ,1372326.5590553314,15.883409248325595,1466,0.843542519326968,en,de,en→de,0.8802985456682456,1.321601232883634,True,0.21952241307080017
u:en9-,1946668.681623643,22.530887518792166,211,0.8784001148930238,en,de,en→de,0.8606076751671958,1.6696641324381252,True,0.29849183074989527
u:f08x,1462898.6789462252,16.93169767298872,201,0.8663349917081294,en,de,en→de,0.8865230759703958,1.4188086765247834,True,0.23460410557184752
u:f0lA,1650820.0289208088,19.106713297694547,776,0.7128254692043389,en,de,en→de,0.7363971473707673,2.478879596816533,True,0.26225387515710097
u:fHH3,2271861.9844784252,26.29469889442622,755,0.8271523178807947,en,de,en→de,0.8907116768486079,2.305051799730194,True,0.3426895684960201
u:fLET,1905928.6932564476,22.05935987565333,396,0.8697658402203864,en,de,en→de,0.8901959126566182,1.5567129337355032,True,0.29241726015919567
u:fSVv,1868795.349645292,21.629575806079767,299,0.8528428093645518,en,de,en→de,0.8827086186864566,1.3842032082249474,True,0.28843736908253037
u:fZML,1336939.7331045223,15.473839503524564,158,0.7236286919831203,en,de,en→de,0.8550948222398956,1.882806346694796,True,0.21302890657729368
u:fmT7,1885925.2556437901,21.827838606988312,707,0.8313295615275841,en,de,en→de,0.874731918472401,1.593328373015873,True,0.29053204859656473
u:g3qa,1420711.523797741,16.443420414325704,206,0.7475728155339806,en,de,en→de,0.707870053894161,3.2695199006652285,True,0.2268537913699204
u:g8b2,1734620.3752929554,20.076624714038836,134,0.875621890547276,en,de,en→de,0.9042986348573365,2.316194461719182,True,0.2725178047758693
u:gCjY,2285605.953083365,26.45377260513154,618,0.8791801510248107,en,de,en→de,0.8268028541032186,2.0722575250209756,True,0.3449937159614579
u:gDKE,2272032.7146976427,26.296674938630122,546,0.8724053724053754,en,de,en→de,0.880134575769777,1.4261280906593408,True,0.34289903644742353
u:gEN9,2154546.9472340783,24.936885963357387,172,0.8953488372093024,en,de,en→de,0.8939676288721425,1.8894675925925926,True,0.3271889400921659
u:gHk4,2320633.9147583963,26.85918882822218,174,0.8915708812260517,en,de,en→de,0.8813244301379684,1.8564782886334612,True,0.3498114788437369
u:gKXh,1787315.346900904,20.686520218760464,923,0.8664499819429414,en,de,en→de,0.8841732647722116,1.38413837727218,True,0.2794302471721827
u:gPBV,1364792.9317600376,15.796214487963397,1036,0.8238122050622114,en,de,en→de,0.8432395232920493,1.8088170313170313,True,0.21763720150816926
u:gQne,2275547.656305281,26.337357133162975,169,0.6977317554240651,en,de,en→de,0.658855720603023,8.69351447786544,True,0.34373690825303727
u:gT4n,2151851.959573273,24.905693976542512,350,0.8821428571428601,en,de,en→de,0.8793122481066379,1.4781525793650794,True,0.32677000418935903
u:g_rD,739691.0109707686,8.561238552902415,230,0.6786231884057956,en,de,en→de,0.7883075639068085,2.4800797101449277,True,0.13196480938416422
u:getE,1763923.1488744505,20.41577718604688,142,0.8450704225352113,en,de,en→de,0.8918191381722869,1.4787721700573813,True,0.2762882279011311
u:glHG,1686741.5227698795,19.52247132835509,136,0.8737745098039265,en,de,en→de,0.8524525852464777,1.5314045479302834,True,0.2664432341851697
u:h-gI,2214074.9673866634,25.625867678086383,180,0.8804938271604944,en,de,en→de,0.903895934312601,1.7517084619341565,True,0.33514872224549647
u:h-iF,55098.09517374043,0.637709434881255,211,0.8407131573008342,en,de,en→de,0.868652519917742,3.5116202058100754,True,0.04419773774612484
u:h-s1,1842922.119195704,21.33011712032065,888,0.8417605105105124,en,de,en→de,0.8751203863895197,1.574792279258425,True,0.2857142857142857
u:h3cW,2245972.174252256,25.995048313104814,228,0.7426900584795351,en,de,en→de,0.8252101638614796,5.456894340886939,True,0.3389191453707583
u:hEvV,2083508.4442809706,24.11468106806679,1386,0.7344671201814077,en,de,en→de,0.7878692882812373,4.540605626369515,True,0.31860075408462507
u:hFDM,1874962.7817663536,21.70095812229576,697,0.7905308464849354,en,de,en→de,0.8538115746098492,2.286996170758276,True,0.289694176790951
u:hI9U,796529.6292724799,9.219092931394444,568,0.7704984447282112,en,de,en→de,0.7969552197945886,1.4404287297861242,True,0.13971512358609134
u:hISa,1400048.7054452642,16.204267424135004,2042,0.7409192668252459,en,de,en→de,0.8256412677852183,3.214000219918743,True,0.22350230414746544
u:hK_n,1521795.9272953598,17.61337878814074,290,0.7279310344827586,en,de,en→de,0.7781932930853954,4.1805074233716475,True,0.24277335567658148
u:hKzX,2118822.0984549383,24.523403917302527,195,0.8641025641025641,en,de,en→de,0.885668893152652,1.4337152777777777,True,0.32279011311269373
u:hNej,2163217.335388716,25.037237678110138,1419,0.7847075405214946,en,de,en→de,0.7752235127597433,1.4792726277634225,True,0.3284457478005865
u:hQaX,2159946.6148351682,24.999382116147782,427,0.8708040593286557,en,de,en→de,0.8800018336722883,1.6428364071038253,True,0.32760787599497276
u:hTka,2154496.404412959,24.93630097700184,308,0.8279220779220812,en,de,en→de,0.8724621804674716,1.6821244814213565,True,0.32697947214076245
u:h_GJ,17868.633150708927,0.20681288368876072,137,0.9233576642335767,en,de,en→de,0.8875269242485471,5.700427564882401,True,0.028068705488060328
u:hcCx,1616133.1090081262,18.705244317223684,333,0.8323323323323423,en,de,en→de,0.8860384693065159,1.4038225725725726,True,0.25617930456640137
u:hcLr,2121334.0217719413,24.552477103841913,303,0.8510451045104553,en,de,en→de,0.8978125938323219,2.624077893900501,True,0.3229995810640972
u:hfAD,1601900.0691071844,18.540510059110932,602,0.8200561619996877,en,de,en→de,0.8305867646467625,1.6863560123661867,True,0.2532467532467532
